image-pathname,label
train/Adam Sandler/189.jpg,Adam Sandler
train/Adam Sandler/51.jpg,Adam Sandler
train/Adam Sandler/216.jpg,Adam Sandler
train/Adam Sandler/219.jpg,Adam Sandler
train/Adam Sandler/71.jpg,Adam Sandler
train/Adam Sandler/30.jpg,Adam Sandler
train/Adam Sandler/7.jpg,Adam Sandler
train/Adam Sandler/134.jpg,Adam Sandler
train/Adam Sandler/38.jpg,Adam Sandler
train/Adam Sandler/24.jpg,Adam Sandler
train/Adam Sandler/303.jpg,Adam Sandler
train/Adam Sandler/19.jpg,Adam Sandler
train/Adam Sandler/3.jpg,Adam Sandler
train/Adam Sandler/36.jpg,Adam Sandler
train/Adam Sandler/21.jpg,Adam Sandler
train/Adam Sandler/304.jpg,Adam Sandler
train/Adam Sandler/52.jpg,Adam Sandler
train/Adam Sandler/53.jpg,Adam Sandler
train/Adam Sandler/277.jpg,Adam Sandler
train/Adam Sandler/94.jpg,Adam Sandler
train/Adam Sandler/302.jpg,Adam Sandler
train/Adam Sandler/237.jpg,Adam Sandler
train/Adam Sandler/80.jpg,Adam Sandler
train/Adam Sandler/239.jpg,Adam Sandler
train/Adam Sandler/119.jpg,Adam Sandler
train/Adam Sandler/37.jpg,Adam Sandler
train/Adam Sandler/152.jpg,Adam Sandler
train/Adam Sandler/127.jpg,Adam Sandler
train/Adam Sandler/278.jpg,Adam Sandler
train/Adam Sandler/198.jpg,Adam Sandler
train/Adam Sandler/256.jpg,Adam Sandler
train/Adam Sandler/151.jpg,Adam Sandler
train/Adam Sandler/166.jpg,Adam Sandler
train/Adam Sandler/282.jpg,Adam Sandler
train/Adam Sandler/50.jpg,Adam Sandler
train/Adam Sandler/245.jpg,Adam Sandler
train/Adam Sandler/72.jpg,Adam Sandler
train/Adam Sandler/241.jpg,Adam Sandler
train/Adam Sandler/202.jpg,Adam Sandler
train/Adam Sandler/307.jpg,Adam Sandler
train/Adam Sandler/108.jpg,Adam Sandler
train/Adam Sandler/136.jpg,Adam Sandler
train/Adam Sandler/208.jpg,Adam Sandler
train/Adam Sandler/132.jpg,Adam Sandler
train/Adam Sandler/26.jpg,Adam Sandler
